# Fiber Diameter
# X: Absolute position, y1:Upper edge, y2: Lower edge
# X, y1, y2
14976, 645, 667
14476, 645, 665
13976, 647, 662
13476, 643, 657
12976, 637, 655
12476, 632, 650
11976, 635, 647
11476, 635, 650
10976, 631, 646
10476, 632, 646
9976, 627, 641
9476, 625, 640
8976, 623, 638
8476, 619, 631
7976, 618, 634
7476, 620, 632
6976, 617, 632
6476, 617, 626
5976, 617, 624
5476, 614, 620
4976, 610, 616
4476, 603, 612
3976, 603, 608
3476, 600, 606
2976, 602, 607
2476, 603, 607
1976, 600, 605
1476, 597, 602
976, 594, 598
476, 590, 596
-24, 589, 597
-524, 588, 595
-1024, 582, 595
-1524, 582, 595
-2024, 581, 594
-2524, 578, 591
-3024, 576, 589
-3524, 574, 586
-4024, 572, 585
-4524, 569, 581
-5024, 565, 578
-5524, 566, 577
